;bid;Name;area;free_walls;floors;use;type;year;lat;lon;dist2hp
192;203;B203;65.79720935944815;4;3.0;3;2;1.0;-336493.26333570713;9247.958439515343;0
193;204;B204;36.07444393532857;3;3.0;3;2;1.0;-336405.624829289;9255.64663646321;0
194;205;B205;36.906683898656226;3;3.0;3;2;1.0;-336403.24415623466;9250.17555563861;0
195;206;B206;42.3719034766047;4;3.0;3;2;1.0;-336485.65860199975;9411.873846917939;0
196;207;B207;42.313054359858015;4;3.0;3;2;1.0;-336489.14818343305;9238.458950907352;0
197;208;B208;139.73851569253375;4;3.0;3;2;1.0;-336429.77339406224;9407.696028810456;0
198;209;B209;98.99121643213026;4;3.0;3;2;1.0;-336421.38445799996;8612.322229639549;0
199;210;B210;23.66306773551206;2;3.0;3;2;1.0;-336314.61002477806;9275.166269762112;0
200;211;B211;60.53620173459581;4;3.0;3;2;1.0;-336485.63280889817;9023.897655889123;0
201;212;B212;84.06771665758451;4;3.0;3;2;1.0;-336466.46000906837;9357.767239121813;0
202;213;B213;90.04795122234339;4;3.0;3;2;1.0;-336384.4728011486;9404.879530719827;0
203;214;B214;48.672088631719056;1;3.0;3;2;1.0;-336356.7909829915;9263.86853048622;0
204;215;B215;135.08406518469656;4;3.0;3;2;1.0;-336434.9672524044;9244.817971562483;0
205;216;B216;127.12358123486734;4;3.0;3;2;1.0;-336365.81440106145;9258.054351901088;0
206;217;B217;30.562725281873124;4;3.0;3;2;1.0;-336309.9313353831;9218.72335876689;0
207;218;B218;9.206467492845947;4;3.0;3;2;1.0;-337125.8122320305;8710.65764624554;0
208;219;B219;62.871672269178845;3;3.0;3;2;1.0;-337049.0229072065;8873.443356100623;0
209;220;B220;37.93997105969252;4;3.0;3;2;1.0;-337141.3935573789;8807.605249862369;0
210;221;B221;319.6999278659601;2;3.0;3;2;1.0;-337055.43699411134;8868.297308364145;0
211;222;B222;95.87751256208183;3;3.0;3;2;1.0;-337046.05393468175;8856.481068460005;0
212;223;B223;16.002811601609615;4;3.0;3;2;1.0;-337144.49962786864;8818.096710609507;0
213;224;B224;93.73257678989926;4;3.0;3;2;1.0;-337116.90772331785;8703.82807801113;0
214;225;B225;17.5966603219595;4;3.0;3;2;1.0;-337257.56728739175;9063.755745256472;0
215;226;B226;148.7042032004084;4;3.0;3;2;1.0;-337157.8723782934;8807.064767429078;0
216;227;B227;73.56385475144499;3;3.0;3;2;1.0;-337137.91028748103;8958.13533594239;0
217;228;B228;134.73617147879457;4;3.0;3;2;1.0;-337059.28780137294;8993.742813894607;0
218;229;B229;34.97445941372079;2;3.0;3;2;1.0;-337015.219785922;9124.074175067475;0
219;230;B230;79.4207799517298;3;3.0;3;2;1.0;-337148.038114588;9286.161077382327;0
220;231;B231;17.702135555215346;2;3.0;3;2;1.0;-337147.7796836971;8714.131879403507;0
221;232;B232;9.10018613338267;2;3.0;3;2;1.0;-337154.4505031207;8954.126588635618;0
222;233;B233;10.801404102649872;3;3.0;3;2;1.0;-337188.93581988354;8991.228805998342;0
223;234;B234;128.55261090932524;3;3.0;3;2;1.0;-337209.4947186038;8932.45979606523;0
224;235;B235;359.48141995285283;4;3.0;3;2;1.0;-337151.3603490152;8982.872683578556;0
225;236;B236;46.42583048160153;4;3.0;3;2;1.0;-337240.64099690545;9027.505814462387;0
226;237;B237;50.16660417919595;3;3.0;3;2;1.0;-337249.39748997724;9079.568947693793;0
227;238;B238;33.55525534715254;3;3.0;3;2;1.0;-337054.9226610603;9001.874111303752;0
228;239;B239;22.1890589987355;4;3.0;3;2;1.0;-337049.9867994272;8990.942315622842;0
229;240;B240;11.849767976889396;2;3.0;3;2;1.0;-337148.47564867075;8730.940095737182;0
230;241;B241;51.325530745501815;3;3.0;3;2;1.0;-337122.5124275136;8772.398556813188;0
231;242;B242;90.13926499141311;3;3.0;3;2;1.0;-337146.7652285621;9014.312097015518;0
232;243;B243;169.60968319173298;4;3.0;3;2;1.0;-337000.44163771026;8912.736352163192;0
233;244;B244;22.354978860069657;3;3.0;3;2;1.0;-337153.5403637222;9281.99850093076;0
234;245;B245;9.523981353640671;3;3.0;3;2;1.0;-337118.51121038035;8731.384309986877;0
235;246;B246;53.27106322662668;4;3.0;3;2;1.0;-337032.70974081993;9215.978793168571;0
236;247;B247;54.894027039847316;4;3.0;3;2;1.0;-337174.05571635306;8748.754306119592;0
237;248;B248;20.722300297540734;3;3.0;3;2;1.0;-337016.747817654;9127.757266808054;0
